Beispiel: Examples/schmuck8.txt
Dauer: 957.03 ms
Größe der Perlen:  [1, 1, 2, 2, 3]

Ausgabeformat:
Buchstabe(Häufigkeit): Code (Größe des Codes)
"，"(33):	 [1, 1, 0] (3)
"。"(27):	 [1, 1, 1] (3)
"「"(13):	 [0, 0, 0, 1] (4)
"」"(13):	 [0, 0, 1, 0] (4)
"》"(12):	 [0, 0, 1, 1] (4)
"："(11):	 [0, 1, 0, 0] (4)
"《"(11):	 [0, 1, 0, 1] (4)
"之"(10):	 [0, 1, 1, 0] (4)
"格"(10):	 [0, 1, 1, 1] (4)
"不"(9):	 [1, 0, 0, 0] (4)
"有"(7):	 [1, 0, 0, 1] (4)
"為"(7):	 [1, 0, 1, 0] (4)
"云"(7):	 [1, 0, 1, 1] (4)
"時"(6):	 [0, 0, 0, 0, 0] (5)
"一"(6):	 [0, 0, 0, 0, 1] (5)
"其"(6):	 [0, 0, 2, 0] (5)
"風"(5):	 [0, 0, 2, 1] (5)
"武"(5):	 [0, 0, 3, 0] (5)
"相"(5):	 [0, 0, 3, 1] (5)
"詩"(5):	 [0, 1, 1, 3] (5)
"人"(5):	 [0, 1, 2, 0] (5)
"知"(4):	 [0, 1, 2, 1] (5)
"也"(4):	 [0, 1, 3, 0] (5)
"；"(4):	 [0, 1, 3, 1] (5)
"公"(4):	 [0, 2, 0, 0] (5)
"是"(4):	 [0, 2, 0, 1] (5)
"誰"(4):	 [0, 2, 1, 0] (5)
"在"(4):	 [0, 2, 1, 1] (5)
"嚴"(3):	 [0, 3, 0, 0] (5)
"天"(3):	 [0, 3, 0, 1] (5)
"意"(3):	 [0, 3, 1, 0] (5)
"馬"(3):	 [0, 3, 1, 1] (5)
"、"(3):	 [0, 4, 0] (5)
"骨"(3):	 [0, 4, 1] (5)
"作"(3):	 [1, 0, 0, 2] (5)
"律"(3):	 [1, 0, 0, 3] (5)
"情"(3):	 [1, 0, 1, 2] (5)
"者"(3):	 [1, 0, 1, 3] (5)
"花"(3):	 [1, 0, 2, 0] (5)
"未"(3):	 [1, 0, 2, 1] (5)
"百"(3):	 [1, 0, 3, 0] (5)
"而"(3):	 [1, 0, 3, 1] (5)
"皆"(3):	 [1, 1, 2, 0] (5)
"性"(3):	 [1, 1, 2, 1] (5)
"日"(3):	 [1, 1, 3, 0] (5)
"都"(3):	 [1, 1, 3, 1] (5)
"言"(3):	 [1, 2, 0, 0] (5)
"以"(3):	 [1, 2, 0, 1] (5)
"調"(3):	 [1, 2, 1, 0] (5)
"十"(3):	 [1, 2, 1, 1] (5)
"無"(2):	 [1, 3, 0, 0] (5)
"林"(2):	 [1, 3, 0, 1] (5)
"後"(2):	 [1, 3, 1, 0] (5)
"大"(2):	 [1, 3, 1, 1] (5)
"談"(2):	 [1, 4, 0] (5)
"滿"(2):	 [1, 4, 1] (5)
"開"(2):	 [2, 0, 0, 0] (5)
"光"(2):	 [2, 0, 0, 1] (5)
"王"(2):	 [2, 0, 1, 0] (5)
"濟"(2):	 [2, 0, 1, 1] (5)
"深"(2):	 [2, 1, 0, 0] (5)
"外"(2):	 [2, 1, 0, 1] (5)
"四"(2):	 [2, 1, 1, 0] (5)
"曰"(2):	 [2, 1, 1, 1] (5)
"問"(2):	 [2, 2, 0] (5)
"七"(2):	 [2, 2, 1] (5)
"吟"(2):	 [2, 3, 0] (5)
"才"(2):	 [2, 3, 1] (5)
" "(2):	 [3, 0, 0, 0] (5)
"多"(2):	 [3, 0, 0, 1] (5)
"志"(2):	 [3, 0, 1, 0] (5)
"便"(2):	 [3, 0, 1, 1] (5)
"自"(2):	 [3, 1, 0, 0] (5)
"出"(2):	 [3, 1, 0, 1] (5)
"乎"(2):	 [3, 1, 1, 0] (5)
"與"(2):	 [3, 1, 1, 1] (5)
"中"(2):	 [3, 2, 0] (5)
"枝"(2):	 [3, 2, 1] (5)
"趣"(2):	 [3, 3, 0] (5)
"李"(2):	 [3, 3, 1] (5)
"看"(2):	 [4, 0, 0] (5)
"韓"(2):	 [4, 0, 1] (5)
"同"(2):	 [4, 1, 0] (5)
"繩"(2):	 [4, 1, 1] (5)
"見"(2):	 [0, 0, 0, 0, 2] (6)
"何"(2):	 [0, 0, 0, 0, 3] (6)
"三"(2):	 [0, 0, 0, 2, 0] (6)
"將"(2):	 [0, 0, 0, 2, 1] (6)
"目"(2):	 [0, 0, 0, 3, 0] (6)
"上"(2):	 [0, 0, 0, 3, 1] (6)
"通"(2):	 [0, 0, 0, 4] (6)
"來"(2):	 [0, 0, 1, 2, 0] (6)
"非"(2):	 [0, 0, 1, 2, 1] (6)
"君"(2):	 [0, 0, 1, 3, 0] (6)
"水"(2):	 [0, 0, 1, 3, 1] (6)
"解"(2):	 [0, 0, 1, 4] (6)
"好"(2):	 [0, 0, 2, 2] (6)
"文"(2):	 [0, 0, 2, 3] (6)
"得"(2):	 [0, 0, 3, 2] (6)
"已"(2):	 [0, 0, 3, 3] (6)
"篇"(2):	 [0, 0, 4, 0] (6)
"禹"(2):	 [0, 0, 4, 1] (6)
"年"(2):	 [0, 1, 0, 2, 0] (6)
"此"(2):	 [0, 1, 0, 2, 1] (6)
"尤"(2):	 [0, 1, 0, 3, 0] (6)
"命"(1):	 [0, 1, 0, 3, 1] (6)
"去"(1):	 [0, 1, 0, 4] (6)
"卓"(1):	 [0, 1, 1, 2, 0] (6)
"祠"(1):	 [0, 1, 1, 2, 1] (6)
"門"(1):	 [0, 1, 1, 4] (6)
"專"(1):	 [0, 1, 2, 2] (6)
"丞"(1):	 [0, 1, 2, 3] (6)
"子"(1):	 [0, 1, 3, 2] (6)
